p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.03   0.003  BASICTOOL     -1.0          1.0           -1.0          0.981         -0.063        0.001         0.991         -0.043        0.002         0.989         -0.02         0.001         49854.0       0.0           
0.04   0.003  BASICTOOL     -1.0          1.0           -1.0          0.935         0.159         0.001         0.98          0.027         0.001         0.954         0.132         0.0           49902.0       0.0           
0.05   0.003  BASICTOOL     -1.0          1.0           -1.0          0.834         0.73          0.001         0.944         0.26          0.001         0.888         0.47          0.0           49910.0       0.0           
0.06   0.003  BASICTOOL     -1.0          1.0           -1.0          0.692         1.6           0.001         0.806         1.074         0.001         0.883         0.526         0.0           49910.0       0.0           
0.07   0.003  BASICTOOL     -1.0          1.0           -1.0          0.393         3.398         0.001         0.507         2.767         0.001         0.877         0.631         0.001         49910.0       0.0           
0.08   0.003  BASICTOOL     -1.0          1.0           -1.0          0.239         4.485         0.001         0.348         3.734         0.001         0.871         0.752         0.001         49911.0       0.0           
0.09   0.003  BASICTOOL     -1.0          1.0           -1.0          0.129         5.419         0.001         0.26          4.333         0.001         0.836         1.086         0.001         49911.0       0.0           
0.1    0.003  BASICTOOL     -1.0          1.0           -1.0          0.047         6.261         0.001         0.173         4.902         0.001         0.806         1.359         0.001         49911.0       0.0           
-1     0.004  SCOPA         -1.0          1.0           0.0           0.677         1.858         0.001         0.687         1.843         0.001         0.986         0.016         0.001         49998.0       0.0           
0.0    0.004  BASICTOOL     -1.0          1.0           -1.0          0.841         -1.947        0.004         0.918         -0.971        0.004         0.919         -0.976        0.004         49606.0       0.0           
0.01   0.004  BASICTOOL     -1.0          1.0           -1.0          0.841         -1.947        0.004         0.918         -0.971        0.004         0.919         -0.976        0.004         49606.0       0.0           
0.02   0.004  BASICTOOL     -1.0          1.0           -1.0          0.874         -1.384        0.003         0.935         -0.689        0.003         0.936         -0.695        0.003         49606.0       0.0           
0.03   0.004  BASICTOOL     -1.0          1.0           -1.0          0.971         -0.115        0.001         0.987         -0.063        0.001         0.984         -0.052        0.001         49799.0       0.0           
0.04   0.004  BASICTOOL     -1.0          1.0           -1.0          0.928         0.103         0.001         0.977         -0.002        0.001         0.951         0.105         0.0           49894.0       0.0           
0.05   0.004  BASICTOOL     -1.0          1.0           -1.0          0.832         0.675         0.001         0.943         0.233         0.001         0.887         0.442         0.0           49917.0       0.0           
0.06   0.004  BASICTOOL     -1.0          1.0           -1.0          0.695         1.538         0.001         0.809         1.031         0.001         0.882         0.507         0.0           49920.0       0.0           
0.07   0.004  BASICTOOL     -1.0          1.0           -1.0          0.406         3.274         0.001         0.521         2.663         0.001         0.874         0.611         0.001         49920.0       0.0           
0.08   0.004  BASICTOOL     -1.0          1.0           -1.0          0.254         4.354         0.001         0.363         3.626         0.001         0.869         0.729         0.001         49920.0       0.0           
0.09   0.004  BASICTOOL     -1.0          1.0           -1.0          0.142         5.311         0.001         0.271         4.25          0.001         0.834         1.06          0.001         49920.0       0.0           
0.1    0.004  BASICTOOL     -1.0          1.0           -1.0          0.054         6.176         0.001         0.181         4.839         0.001         0.805         1.337         0.001         49920.0       0.0           
-1     0.005  SCOPA         -1.0          1.0           0.0           0.672         1.84          0.001         0.685         1.832         0.001         0.983         0.008         0.001         50000.0       0.0           
0.0    0.005  BASICTOOL     -1.0          1.0           -1.0          0.808         -2.373        0.004         0.899         -1.201        0.004         0.902         -1.172        0.004         49560.0       0.0           
0.01   0.005  BASICTOOL     -1.0          1.0           -1.0          0.808         -2.373        0.004         0.899         -1.201        0.004         0.902         -1.172        0.004         49560.0       0.0           
0.02   0.005  BASICTOOL     -1.0          1.0           -1.0          0.846         -1.722        0.003         0.92          -0.862        0.003         0.921         -0.86         0.003         49560.0       0.0           
0.03   0.005  BASICTOOL     -1.0          1.0           -1.0          0.962         -0.188        0.002         0.982         -0.103        0.002         0.98          -0.085        0.001         49780.0       0.0           
0.04   0.005  BASICTOOL     -1.0          1.0           -1.0          0.922         0.044         0.001         0.973         -0.033        0.001         0.948         0.077         0.001         49894.0       0.0           
0.05   0.005  BASICTOOL     -1.0          1.0           -1.0          0.834         0.618         0.001         0.942         0.208         0.001         0.89          0.411         0.0           49926.0       0.0           
0.06   0.005  BASICTOOL     -1.0          1.0           -1.0          0.704         1.452         0.001         0.815         0.966         0.001         0.883         0.485         0.0           49928.0       0.0           
0.07   0.005  BASICTOOL     -1.0          1.0           -1.0          0.419         3.169         0.001         0.534         2.571         0.001         0.873         0.598         0.001         49928.0       0.0           
0.08   0.005  BASICTOOL     -1.0          1.0           -1.0          0.267         4.253         0.001         0.376         3.532         0.001         0.866         0.721         0.001         49930.0       0.0           
0.09   0.005  BASICTOOL     -1.0          1.0           -1.0          0.152         5.214         0.001         0.279         4.184         0.001         0.835         1.03          0.001         49930.0       0.0           
0.1    0.005  BASICTOOL     -1.0          1.0           -1.0          0.06          6.1           0.001         0.183         4.811         0.001         0.807         1.289         0.001         49930.0       0.0           
