p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.03   0.003  BASICTOOL     -1.0          1.0           -1.0          0.612         -5.109        0.035         0.646         -6.742        0.165         0.949         1.633         0.573         8743.0        0.0           
0.04   0.003  BASICTOOL     -1.0          1.0           -1.0          0.566         -4.841        0.032         0.624         -6.649        0.155         0.921         1.807         0.364         8774.0        0.0           
0.05   0.003  BASICTOOL     -1.0          1.0           -1.0          0.545         -4.726        0.03          0.612         -6.632        0.15          0.904         1.905         0.299         8801.0        0.0           
0.06   0.003  BASICTOOL     -1.0          1.0           -1.0          0.52          -4.519        0.029         0.6           -6.544        0.145         0.884         2.025         0.248         8801.0        0.0           
0.07   0.003  BASICTOOL     -1.0          1.0           -1.0          0.468         -4.117        0.026         0.59          -6.396        0.142         0.833         2.279         0.173         8801.0        0.0           
0.08   0.003  BASICTOOL     -1.0          1.0           -1.0          0.438         -3.728        0.025         0.577         -6.264        0.138         0.805         2.536         0.149         8802.0        0.0           
0.09   0.003  BASICTOOL     -1.0          1.0           -1.0          0.401         -3.709        0.025         0.554         -9.385        0.253         0.745         5.676         0.281         9006.0        0.0           
0.1    0.003  BASICTOOL     -1.0          1.0           -1.0          0.352         -3.74         0.03          0.541         -11.747       0.344         0.672         8.007         0.29          9201.0        0.0           
-1     0.004  SCOPA         -1.0          1.0           0.0           0.975         -0.175        0.003         0.987         -1.229        0.581         0.983         1.055         0.352         50000.0       0.0           
0.0    0.004  BASICTOOL     -1.0          1.0           -1.0          0.492         -7.598        0.035         0.54          -8.165        0.115         0.92          0.567         0.314         9695.0        0.0           
0.01   0.004  BASICTOOL     -1.0          1.0           -1.0          0.492         -7.598        0.035         0.54          -8.165        0.115         0.92          0.567         0.314         9695.0        0.0           
0.02   0.004  BASICTOOL     -1.0          1.0           -1.0          0.502         -7.145        0.033         0.547         -7.977        0.115         0.925         0.832         0.33          9695.0        0.0           
0.03   0.004  BASICTOOL     -1.0          1.0           -1.0          0.548         -5.983        0.032         0.578         -7.442        0.121         0.949         1.459         0.469         9714.0        0.0           
0.04   0.004  BASICTOOL     -1.0          1.0           -1.0          0.507         -5.752        0.029         0.558         -7.351        0.113         0.927         1.599         0.317         9791.0        0.0           
0.05   0.004  BASICTOOL     -1.0          1.0           -1.0          0.489         -5.65         0.028         0.548         -7.362        0.109         0.909         1.712         0.251         9855.0        0.0           
0.06   0.004  BASICTOOL     -1.0          1.0           -1.0          0.468         -5.445        0.027         0.537         -7.28         0.107         0.888         1.835         0.205         9855.0        0.0           
