p    e    name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.25           0.03           BASICTOOL     -1.0          1.0           1.0           0.052         17.766        0.008         0.137         13.986        0.006         0.617         3.78          0.003         47600.0       0.0           
0.3            0.03           BASICTOOL     -1.0          1.0           0.999         0.034         22.702        0.014         0.06          18.687        0.01          0.609         4.015         0.003         47600.0       0.0           
0.35           0.03           BASICTOOL     -1.0          1.0           0.994         0.014         29.534        0.023         0.022         25.554        0.018         0.607         3.98          0.003         47600.0       0.0           
0.4            0.03           BASICTOOL     -1.0          1.0           0.979         0.009         37.95         0.038         0.011         33.76         0.032         0.596         4.19          0.003         47600.0       0.0           
0.45           0.03           BASICTOOL     -1.0          1.0           0.939         0.007         50.9          0.068         0.009         46.819        0.06          0.599         4.081         0.003         47600.0       0.0           
0.5            0.03           BASICTOOL     -1.0          1.0           0.82          0.005         70.178        0.124         0.006         65.916        0.112         0.589         4.262         0.003         47600.0       0.0           
0.55           0.03           BASICTOOL     -1.0          1.0           0.661         0.004         94.218        0.227         0.004         90.151        0.213         0.569         4.067         0.01          47600.0       0.0           
-1             0.04           SCOPA         -1.0          1.0           1.0           0.78          -0.523        0.0           0.884         -0.263        0.0           0.882         -0.26         0.0           47600.0       0.0           
0.05           0.04           BASICTOOL     -1.0          0.989         1.0           0.606         -3.887        0.004         0.77          -1.852        0.003         0.773         -2.034        0.003         47600.0       0.0           
0.1            0.04           BASICTOOL     -1.0          0.999         1.0           0.549         1.393         0.001         0.736         0.856         0.001         0.764         0.537         0.001         47600.0       0.0           
0.15           0.04           BASICTOOL     -1.0          1.0           1.0           0.316         5.388         0.002         0.509         3.96          0.002         0.709         1.429         0.001         47600.0       0.0           
0.2            0.04           BASICTOOL     -1.0          1.0           1.0           0.133         11.531        0.004         0.28          8.997         0.004         0.669         2.534         0.002         47600.0       0.0           
0.25           0.04           BASICTOOL     -1.0          1.0           1.0           0.054         17.08         0.008         0.147         13.428        0.006         0.609         3.652         0.003         47600.0       0.0           
0.3            0.04           BASICTOOL     -1.0          1.0           0.999         0.034         21.979        0.013         0.067         17.988        0.01          0.593         3.992         0.003         47600.0       0.0           
0.35           0.04           BASICTOOL     -1.0          1.0           0.994         0.014         28.746        0.022         0.024         24.767        0.017         0.593         3.978         0.003         47600.0       0.0           
0.4            0.04           BASICTOOL     -1.0          1.0           0.98          0.008         37.022        0.036         0.011         32.871        0.03          0.584         4.151         0.003         47600.0       0.0           
0.45           0.04           BASICTOOL     -1.0          1.0           0.941         0.007         49.478        0.064         0.009         45.42         0.057         0.586         4.057         0.003         47600.0       0.0           
0.5            0.04           BASICTOOL     -1.0          1.0           0.821         0.005         68.697        0.119         0.006         64.475        0.108         0.576         4.222         0.003         47600.0       0.0           
0.55           0.04           BASICTOOL     -1.0          1.0           0.658         0.003         92.516        0.219         0.004         88.482        0.205         0.556         4.034         0.009         47600.0       0.0           
-1             0.05           SCOPA         -1.0          1.0           1.0           0.732         -0.664        0.0           0.853         -0.336        0.0           0.858         -0.328        0.0           47600.0       0.0           
0.05           0.05           BASICTOOL     -1.0          0.978         1.0           0.497         -6.039        0.005         0.696         -2.898        0.004         0.696         -3.14         0.004         47600.0       0.0           
0.1            0.05           BASICTOOL     -1.0          0.999         1.0           0.553         0.63          0.001         0.735         0.447         0.001         0.761         0.183         0.001         47600.0       0.0           
0.15           0.05           BASICTOOL     -1.0          1.0           1.0           0.337         4.589         0.002         0.532         3.326         0.002         0.701         1.263         0.001         47600.0       0.0           
0.2            0.05           BASICTOOL     -1.0          1.0           1.0           0.148         10.619        0.004         0.301         8.265         0.004         0.663         2.354         0.002         47600.0       0.0           
0.25           0.05           BASICTOOL     -1.0          1.0           1.0           0.059         16.369        0.007         0.159         12.843        0.006         0.605         3.526         0.003         47600.0       0.0           
0.3            0.05           BASICTOOL     -1.0          1.0           0.999         0.036         21.329        0.012         0.073         17.393        0.009         0.585         3.937         0.003         47600.0       0.0           
0.35           0.05           BASICTOOL     -1.0          1.0           0.995         0.015         27.94         0.02          0.026         23.947        0.016         0.582         3.994         0.003         47600.0       0.0           
0.4            0.05           BASICTOOL     -1.0          1.0           0.981         0.009         36.186        0.035         0.012         32.08         0.029         0.574         4.107         0.003         47600.0       0.0           
0.45           0.05           BASICTOOL     -1.0          1.0           0.942         0.007         48.168        0.061         0.009         44.151        0.054         0.577         4.017         0.003         47600.0       0.0           
0.5            0.05           BASICTOOL     -1.0          1.0           0.822         0.005         67.258        0.115         0.006         63.079        0.104         0.567         4.18          0.003         47600.0       0.0           
0.55           0.05           BASICTOOL     -1.0          1.0           0.661         0.003         90.885        0.211         0.004         86.898        0.198         0.549         3.988         0.009         47600.0       0.0           
-1             0.06           SCOPA         -1.0          1.0           1.0           0.69          -0.8          0.0           0.83          -0.401        0.0           0.832         -0.399        0.0           47600.0       0.0           
0.05           0.06           BASICTOOL     -1.0          0.963         1.0           0.395         -8.335        0.007         0.622         -4.039        0.004         0.617         -4.296        0.005         47600.0       0.0           
