p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.03   0.003  BASICTOOL     -1.0          1.0           -1.0          0.977         -0.09         0.001         0.989         -0.042        0.001         0.988         -0.049        0.001         38387.0       0.0           
0.04   0.003  BASICTOOL     -1.0          1.0           -1.0          0.975         0.015         0.0           0.982         0.031         0.0           0.993         -0.016        0.0           38856.0       0.0           
0.05   0.003  BASICTOOL     -1.0          1.0           -1.0          0.973         0.045         0.0           0.978         0.056         0.0           0.994         -0.011        0.0           39633.0       0.0           
0.06   0.003  BASICTOOL     -1.0          1.0           -1.0          0.957         0.149         0.001         0.966         0.132         0.001         0.99          0.017         0.001         39633.0       0.0           
0.07   0.003  BASICTOOL     -1.0          1.0           -1.0          0.924         0.337         0.001         0.94          0.279         0.001         0.983         0.058         0.001         39636.0       0.0           
0.08   0.003  BASICTOOL     -1.0          1.0           -1.0          0.904         0.466         0.001         0.925         0.38          0.001         0.978         0.086         0.001         39642.0       0.0           
0.09   0.003  BASICTOOL     -1.0          1.0           0.0           0.878         0.686         0.001         0.902         0.583         0.001         0.975         0.103         0.001         39839.0       0.0           
0.1    0.003  BASICTOOL     -1.0          1.0           0.0           0.837         0.945         0.001         0.875         0.755         0.001         0.958         0.19          0.001         40612.0       0.0           
-1     0.004  SCOPA         -1.0          1.0           0.0           0.978         0.051         0.004         0.988         0.071         0.007         0.99          -0.02         0.0           46819.0       0.0           
0.0    0.004  BASICTOOL     -1.0          1.0           -1.0          0.922         -0.826        0.005         0.96          -0.412        0.004         0.961         -0.414        0.004         37923.0       0.0           
0.01   0.004  BASICTOOL     -1.0          1.0           -1.0          0.922         -0.826        0.005         0.96          -0.412        0.004         0.961         -0.414        0.004         37923.0       0.0           
0.02   0.004  BASICTOOL     -1.0          1.0           -1.0          0.949         -0.418        0.003         0.973         -0.206        0.003         0.974         -0.212        0.003         37923.0       0.0           
0.03   0.004  BASICTOOL     -1.0          1.0           -1.0          0.968         -0.152        0.001         0.984         -0.072        0.001         0.984         -0.08         0.001         37962.0       0.0           
0.04   0.004  BASICTOOL     -1.0          1.0           -1.0          0.972         -0.001        0.0           0.981         0.023         0.0           0.991         -0.024        0.0           38581.0       0.0           
